customer_id,first_name,last_name,email_address,phone_number,age,salary,join_date,country,status,score,account_balance,latitude,longitude,user_agent,_invalid_email_address,_is_outlier
C00001,Kjmnn,Tjcwzvf,kjmnn.tjcwzvf@outlook.com,+1-555-4483,40,202632,2024-11-25,UK,TRUE,5,-115.2,88.122594,-13.648795,FYslViPEZXIbbyQeweqa Browser/1.0,False,False
C00002,Bkock,Nvnskvg,bkock.nvnskvg@yahoo.com,+1-555-7689,33,116296,2023-03-07,France,pending,29,5419.27,-56.528651,86.51680453931893,bKhcMjstEFAuWaVLZeTe Browser/1.0,False,False
C00003,Cluqu,Vtetvlu,cluqu.vtetvlu@outlook.com,+1-555-4703,57,189591,2021-07-10,CANADA,Active,53,12438.73,73.297018,103.753497,WnTvIFoJFZIwtUrIKYkI Browser/1.0,False,False
C00004,Himtm,Srufbaq,himtm.srufbaq@yahoo.com,+1-555-8276,51,243542,2024-11-20,UK,Inactive,2,40222.02,24.870514481343072,92.05654700177436,ZYPZYfNoTKPzQDUzkUCz Browser/1.0,False,False
C00005,Ygkdk,Fsupnrt,ygkdk.fsupnrt@hotmail.com,+1-555-3930,44,225621,2023-10-21,CANADA,ACTIVE,68,22723.54,26.567832496799394,-2.11541,MDBGEviEcbrlNiwKvPgi Browser/1.0,False,False
C00006,Sdkdk,Hqejlqh,sdkdk.hqejlqh@hotmail.com,+1-555-4793,38,52688,2023-04-10,Canada,Active,82,36399.94,-19.753322791785234,65.563892,WKGHHzjgWaWtaXHQDENk Browser/1.0,False,False
C00007,Mxpte,Qtrotqc,mxpte.qtrotqc@outlook.com,+1-555-3174,54,180048,2023-07-26,UK,active,77,42252.33,54.987944,-44.403995,dxgeUHvGjTFLZQbSVcvR Browser/1.0,False,False
C00008,Hjnwm,Vlojvcm,hjnwm.vlojvcm@gmail.com,+1-555-1470,34,119239,2020-05-06,UK,Inactive,82,25304.97,88.513583,-120.370962,bcCpzPIHTedBFXjRgXJS Browser/1.0,False,False
C00009,Yftim,Zlffvjy,yftim.zlffvjy@yahoo.com,+1-555-5202,84,289503,2024-02-08,Germany,False,90,25980.83,10.758018240992625,96.162723,jPbbdjcpnWnEpLfrhpnx Browser/1.0,False,False
C00010,Bmfrt,Sqtbobj,bmfrt.sqtbobj@outlook.com,+1-555-2154,73,253509,2022-08-14,UK,active,82,35459.8,-40.811204,154.915665,RhpmqYwEjmFMHfqvxhxi Browser/1.0,False,False
C00011,Ftgmw,Xametmo,ftgmw.xametmo@hotmail.com,+1-555-6257,48,80491,2023-04-03,France,Inactive,62,29565.52,-81.440221,-83.6167457488497,VBFQsfLNbZpbzSZSkrio Browser/1.0,False,False
C00012,Wieag,Qkhfzrt,wieag.qkhfzrt@yahoo.com,+1-555-5699,71,121852,2023-11-04,UK,Inactive,38,49327.97,-40.657212,89.482292,nuUFlZOpxAGxhrgAFFdC Browser/1.0,False,False
C00013,Droup,Aexekwo,droup.aexekwo@gmail.com,+1-555-5224,40,124592,2020-06-01,Germany,Inactive,64,25304.97,-44.98041,-54.200344,cqVXVSQGFLXFCLRBbFrg Browser/1.0,False,False
C00014,Bxdri,Rxjlpir,bxdri.rxjlpir@yahoo.com,+1-555-5449,78,223949,2023-05-04,Germany,pending,33,45912.57,-33.585675,-135.279104,pWvgIZgYINXCBhvCnwtR Browser/1.0,False,False
C00015,Ulhzp,Ozgqdsx,ulhzp.ozgqdsx@outlook.com,+1-555-9775,26,229216,2020-08-07,USA,False,63,-342.28,19.285003,50.514465,SGnMaOVamubSTYhUxfap Browser/1.0,False,False
C00016,Spxrb,Rqpgjds,spxrb.rqpgjds@hotmail.com,+1-555-5656,37,41728,2024-06-18,Germany,False,33,12330.09,-19.951396,176.261844,paiYKmVTLaBlnuuTtiiy Browser/1.0,False,False
C00017,Rgmjd,Jcuihxl,rgmjd.jcuihxl@hotmail.com,+1-555-7939,60,58753,2021-07-06,Germany,Inactive,29,8819.73,-74.491732,-102.501688,wAXHZwTwoXGhDJhzxjJz Browser/1.0,False,False
C00018,Bfozy,Uxgztuq,missing@,+1-555-2994,72,25173,2024-12-07,Canada,inactive,32,25304.97,-79.16951,31.84968525,bhUMBkPdkAbdEntDZcSi Browser/1.0,True,False
C00019,Wzlnj,Nstvrph,wzlnj.nstvrph@gmail.com,+1-555-4497,69,173039,2022-06-06,Australia,TRUE,38,23744.97,-5.48515,37.746486,ZbwWtVKjsEJXVUWniRIR Browser/1.0,False,False
C00020,Eidek,Rsyscgn,eidek.rsyscgn@yahoo.com,+1-555-1118,58,165808,2021-03-23,UK,active,19,25304.97,-5.524235,31.84968525,WvAPyWsUaVbaGKzoUfBn Browser/1.0,False,False
C00021,Nqmmw,Ffpjhjq,nqmmw.ffpjhjq@yahoo.com,+1-555-4812,72,262841,2021-08-08,France,False,55,16669.46,42.60987,73.246085,hkaygyhwRdFmTvpQVZkl Browser/1.0,False,False
